patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5634016,"Blade Software, Inc.",,bladesoftware,1200717,BADGER SOFTWARE INC,badgersoftware,87.17948717948718,87.17948717948718
5908573,Bask Technologies LLC,,basktechnologies,1280653,BADGER TECHNOLOGIES LLC,badgertechnologies,86.36363636363636,86.36363636363636
1656812,Balko Charles,,balkocharles,1208651,BADLATO CHARLES,badlatocharles,85.71428571428572,85.71428571428572
1964718,Baden David,,badendavid,1161987,BADNER DAVID,badnerdavid,86.95652173913044,86.95652173913044
5898576,Bay Networks Inc.,,baynetworks,1594917,BADU Networks Inc.,badunetworks,91.42857142857143,91.42857142857143
1658795,Baer Joseph,,baerjoseph,1208917,BAE JOSEPH Y,baejosephy,86.95652173913044,86.95652173913044
4422569,BAE SYSTEMS PLC,,baesystems,1230244,BAE SYSTEMS PLC,baesystems,100.0,100.0
4422569,BAE SYSTEMS PLC,,baesystems,895564,BAE SYSTEMS PLC /FI/,baesystemsfi,85.71428571428572,85.71428571428572
4422569,BAE SYSTEMS PLC,,baesystems,895564,BAE SYSTEMS PLC /FI/,baesystemsfi,85.71428571428572,85.71428571428572
4090738,"Brake Systems, Inc.",,brakesystems,1422152,"BAE Systems, Inc.",baesystems,94.44444444444444,94.44444444444444
3828889,BAUER CORP,,bauer,1463153,Baeder Corp,baeder,85.71428571428572,85.71428571428572
2478449,Baer Arthur,,baerarthur,1254150,BAER ARTHUR H,baerarthurh,91.66666666666666,91.66666666666666
2016702,Bauer Harry,,bauerharry,1433313,Baer Barry,baerbarry,85.71428571428572,85.71428571428572
2016702,Bauer Harry,,bauerharry,1433313,BAER BARRY,baerbarry,85.71428571428572,85.71428571428572
2016702,Bauer Harry,,bauerharry,1433313,Baer Barry,baerbarry,85.71428571428572,85.71428571428572
2016702,Bauer Harry,,bauerharry,1433313,BAER BARRY,baerbarry,85.71428571428572,85.71428571428572
1620054,Baker David,,bakerdavid,1193874,BAER DAVID D,baerdavidd,86.95652173913044,86.95652173913044
1620054,Baker David,,bakerdavid,1392386,BAER DAVID E,baerdavide,86.95652173913044,86.95652173913044
4664377,"BAKER, FRANK A., III",,bakerfrankaiii,1186817,BAER FRANK A III,baerfrankaiii,88.88888888888889,88.88888888888889
2841124,Baier John F,,baierjohnf,1008309,BAER JOHN E,baerjohne,86.95652173913044,86.95652173913044
5074326,"BAKER, JOHN M.",,bakerjohnm,1199380,BAER JOHN M,baerjohnm,88.0,88.0
1737291,Bauer Karl,,bauerkarl,1335238,BAER KARL,baerkarl,94.73684210526316,94.73684210526316
1737291,Bauer Karl,,bauerkarl,1335238,Baer Karl,baerkarl,94.73684210526316,94.73684210526316
1737291,Bauer Karl,,bauerkarl,1335238,BAER KARL,baerkarl,94.73684210526316,94.73684210526316
1737291,Bauer Karl,,bauerkarl,1335238,Baer Karl,baerkarl,94.73684210526316,94.73684210526316
1737291,Bauer Karl,,bauerkarl,1335238,BAER KARL,baerkarl,94.73684210526316,94.73684210526316
1737291,Bauer Karl,,bauerkarl,1335238,Baer Karl,baerkarl,94.73684210526316,94.73684210526316
1737291,Bauer Karl,,bauerkarl,1335238,BAER KARL,baerkarl,94.73684210526316,94.73684210526316
1737291,Bauer Karl,,bauerkarl,1335238,Baer Karl,baerkarl,94.73684210526316,94.73684210526316
2949254,Bauer Richard,,bauerrichard,1241852,BAER RICHARD N,baerrichardn,88.88888888888889,88.88888888888889
3606744,Baker Robert M,,bakerrobertm,1208971,BAER ROBERT J,baerrobertj,88.88888888888889,88.88888888888889
2599085,Bader Thomas,,baderthomas,1436162,Baer Thomas H,baerthomash,88.0,88.0
2599085,Bader Thomas,,baderthomas,1436162,BAER THOMAS H,baerthomash,88.0,88.0
2599085,Bader Thomas,,baderthomas,1436162,Baer Thomas H,baerthomash,88.0,88.0
2599085,Bader Thomas,,baderthomas,1436162,BAER THOMAS H,baerthomash,88.0,88.0
2599085,Bader Thomas,,baderthomas,1436162,Baer Thomas H,baerthomash,88.0,88.0
